Name,Degree,Eigenvector,Betweenness
Canterbury,4,0.16670711099401223,0.013037350246652568
Ely,2,0.06972743856607859,0.0
Exeter,11,0.3155442731014889,0.1219344608879492
KingHenry,25,0.5338597152945613,0.7189570119802678
Westmorland,6,0.23385166713203945,0.012385482734319938
Ambassador,1,0.07718975816431158,0.0
Bardolph,4,0.059455289092991775,0.0
Nym,4,0.059455289092991775,0.0
Pistol,8,0.17986053291368473,0.16571529245947858
Hostess,4,0.059455289092991775,0.0
Boy,7,0.11242163408498225,0.013847780126849896
Bedford,4,0.12440845858542132,0.0010570824524312897
Scroop,4,0.15656020009480467,0.003946441155743482
Cambridge,3,0.11669980886076012,0.0
Grey,3,0.11669980886076012,0.0
Dauphin,6,0.10936803098828893,0.07492952783650461
FrenchKing,8,0.23231605512825376,0.2658033826638477
Constable,8,0.07565986372953286,0.14485553206483442
1Messenger,1,0.03358993557583603,0.0
Fluellen,8,0.19024987509214147,0.10200845665961947
Gower,7,0.1867748810712997,0.05655391120507397
Jamy,3,0.06372870548671139,0.0
Macmorris,3,0.06372870548671139,0.0
Governor,1,0.07718975816431158,0.0
Alice,3,0.13156982091241498,0.0
Katherine,3,0.13156982091241498,0.0
Brittany,3,0.060342495371512456,0.0
Montjoy,2,0.10180443726201678,0.0
Gloucester,5,0.1702406681194382,0.012138830162085976
Orleans,5,0.037308609022141656,0.005461592670894996
Rambures,4,0.035245306067346924,0.0019027484143763216
2Messenger,3,0.02142969184175537,0.0
Erpingham,2,0.10180443726201678,0.0
Court,2,0.09339517106882754,0.0
Bates,3,0.11207966849329233,0.0005285412262156448
Williams,4,0.14790926475296173,0.00306553911205074
Grandpre,1,0.010939395803038899,0.0
Salisbury,3,0.1408012965310637,0.005972515856236786
York,1,0.07718975816431158,0.0
FrenchSoldier,2,0.04226154479568971,0.0
Bourbon,2,0.016333706191981663,0.0
Warwick,1,0.027508274986046567,0.0
Herald,1,0.07718975816431158,0.0
QueenIsabel,7,0.24453496593033597,0.022198731501057084
Burgundy,2,0.11254643953227486,0.0
